epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.8065,2.07309,0.12798,0.6308,2.34328,0.0805143,0.000196825,0.000196825
2,32.7272,2.01727,0.23089,0.71876,2.11389,0.0607143,0.000396801,0.000396801
3,48.4362,1.95213,0.24266,0.73474,nan,0.0409141,0.000596678,0.000596678
1,49.7838,2.06634,0.15663,0.6722,2.39184,0.0805143,0.000196825,0.000196825
1,18.4465,2.04777,0.15402,0.68026,2.09793,0.0805143,0.000196825,0.000196825
1,18.9644,2.04777,0.15402,0.68026,2.09793,0.0805143,0.000196825,0.000196825
2,41.1481,1.97918,0.22586,0.75024,1.92837,0.0607143,0.000396801,0.000396801
3,68.4893,1.85873,0.3112,0.87299,1.70006,0.0409141,0.000596678,0.000596678
4,83.6903,1.69149,0.26374,0.74604,3.70683,0.0211138,0.000796384,0.000796384
5,125.467,1.53727,0.36989,0.86348,1.99906,0.0013133,0.000995843,0.000995843
6,152.929,1.44849,0.39737,0.92437,1.66214,0.00099846,0.00099846,0.00099846
7,173.806,1.38231,0.48106,0.94738,1.56563,0.000997783,0.000997783,0.000997783
8,201.45,1.32453,0.46887,0.9513,1.43319,0.000996983,0.000996983,0.000996983
9,215.892,1.27553,0.49545,0.94855,1.44181,0.000996061,0.000996061,0.000996061
10,255.882,1.25301,0.53258,0.95991,1.50721,0.000995017,0.000995017,0.000995017
11,283.3,1.21623,0.51013,0.92843,1.78617,0.00099385,0.00099385,0.00099385
12,302.396,1.19207,0.55083,0.96515,1.48333,0.000992562,0.000992562,0.000992562
13,331.389,1.16235,0.55634,0.95647,1.44787,0.000991152,0.000991152,0.000991152
14,353.452,1.13843,0.57315,0.96866,1.56078,0.000989622,0.000989622,0.000989622
15,391.702,1.12057,0.58259,0.96969,1.41767,0.00098797,0.00098797,0.00098797
16,419.849,1.1053,0.57343,0.97162,1.42164,0.000986199,0.000986199,0.000986199
17,436.056,1.09036,0.59244,0.97272,1.37271,0.000984307,0.000984307,0.000984307
18,475.613,1.06473,0.59554,0.97321,1.34978,0.000982296,0.000982296,0.000982296
19,503.109,1.03835,0.59946,0.9741,1.46686,0.000980167,0.000980167,0.000980167
20,524.343,1.03725,0.60931,0.97927,1.25936,0.000977919,0.000977919,0.000977919
21,553.304,1.01766,0.612,0.96811,1.54078,0.000975553,0.000975553,0.000975553
22,583.087,1.00753,0.62261,0.97851,1.26283,0.00097307,0.00097307,0.00097307
23,619.449,0.99327,0.59939,0.95633,1.71265,0.00097047,0.00097047,0.00097047
24,642.244,0.99392,0.62082,0.96425,1.56284,0.000967754,0.000967754,0.000967754
25,676.606,0.97634,0.6047,0.96852,1.43861,0.000964923,0.000964923,0.000964923
26,695.007,0.96697,0.64203,0.97569,1.40187,0.000961978,0.000961978,0.000961978
27,743.315,0.96584,0.61599,0.97451,1.41457,0.000958918,0.000958918,0.000958918
28,779.011,0.95097,0.61179,0.96156,1.64692,0.000955746,0.000955746,0.000955746
29,805.34,0.95363,0.64279,0.9792,1.39133,0.000952461,0.000952461,0.000952461
30,854.032,0.93644,0.61028,0.96673,1.56937,0.000949065,0.000949065,0.000949065
31,887.414,0.92882,0.63335,0.97265,1.4771,0.000945558,0.000945558,0.000945558
32,902.55,0.92325,0.61462,0.97272,1.3754,0.000941941,0.000941941,0.000941941
33,949.332,0.92352,0.64203,0.96597,1.50751,0.000938215,0.000938215,0.000938215
34,999.033,0.91354,0.65856,0.97383,1.42696,0.000934381,0.000934381,0.000934381
35,1035.37,0.90762,0.66139,0.98078,1.2003,0.000930441,0.000930441,0.000930441
36,1065.2,0.89326,0.64727,0.97513,1.27098,0.000926394,0.000926394,0.000926394
37,1100.26,0.89642,0.63094,0.96866,1.43073,0.000922242,0.000922242,0.000922242
38,1114.46,0.88715,0.66517,0.97066,1.46828,0.000917986,0.000917986,0.000917986
39,1151.12,0.88915,0.66628,0.9721,1.43437,0.000913627,0.000913627,0.000913627
40,1166.99,0.87821,0.58589,0.93911,2.05529,0.000909166,0.000909166,0.000909166
41,1216.45,0.87608,0.65932,0.97259,1.42009,0.000904604,0.000904604,0.000904604
42,1251.83,0.8712,0.66139,0.97203,1.47161,0.000899942,0.000899942,0.000899942
43,1267.73,0.86709,0.65567,0.97672,1.40514,0.000895182,0.000895182,0.000895182
44,1284.82,0.86754,0.63507,0.95316,1.78361,0.000890325,0.000890325,0.000890325
45,1299.62,0.84616,0.65043,0.96763,1.56139,0.000885371,0.000885371,0.000885371
46,1317.4,0.85895,0.66028,0.9617,1.58456,0.000880323,0.000880323,0.000880323
47,1360.78,0.84481,0.66669,0.97265,1.43053,0.00087518,0.00087518,0.00087518
48,1413.31,0.85304,0.65732,0.97761,1.23569,0.000869946,0.000869946,0.000869946
49,1446.21,0.84305,0.65684,0.95461,1.70232,0.00086462,0.00086462,0.00086462
50,1483,0.82625,0.66393,0.96301,1.62298,0.000859204,0.000859204,0.000859204
