epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.5276,1.73712,0.27111,0.92778,1.73511,0.0805474,0.000196491,0.000196491
2,24.3419,1.48748,0.41333,0.94333,1.53857,0.0607473,0.000396467,0.000396467
3,33.6664,1.33114,0.61056,0.97778,0.98914,0.0409472,0.000596344,0.000596344
4,43.6703,1.15785,0.66278,0.98444,0.86841,0.0211469,0.00079605,0.00079605
5,53.5262,1.02307,0.65389,0.97278,0.96289,0.00134639,0.000995509,0.000995509
6,63.3409,0.92028,0.52,0.96333,1.2854,0.00099846,0.00099846,0.00099846
7,72.9697,0.82603,0.71778,0.99111,0.69543,0.000997783,0.000997783,0.000997783
8,82.6518,0.77435,0.74111,0.99722,0.61926,0.000996983,0.000996983,0.000996983
9,92.2704,0.72623,0.74944,0.99722,0.60571,0.000996061,0.000996061,0.000996061
10,101.927,0.67153,0.76444,0.99722,0.57764,0.000995017,0.000995017,0.000995017
11,111.752,0.66023,0.74944,0.99889,0.62036,0.00099385,0.00099385,0.00099385
12,121.25,0.6468,0.795,0.99778,0.50317,0.000992562,0.000992562,0.000992562
13,131.077,0.60769,0.79778,0.99889,0.50189,0.000991152,0.000991152,0.000991152
14,140.624,0.60497,0.79778,0.99833,0.50769,0.000989622,0.000989622,0.000989622
15,150.185,0.58055,0.78111,0.99833,0.56158,0.00098797,0.00098797,0.00098797
16,159.778,0.5658,0.77889,0.99778,0.53888,0.000986199,0.000986199,0.000986199
17,169.346,0.55521,0.80278,0.99889,0.48309,0.000984307,0.000984307,0.000984307
18,178.984,0.55026,0.81667,0.99778,0.47498,0.000982296,0.000982296,0.000982296
19,188.606,0.53518,0.78556,0.99778,0.56085,0.000980167,0.000980167,0.000980167
20,198.213,0.53515,0.81667,0.99722,0.44116,0.000977919,0.000977919,0.000977919
21,207.993,0.52677,0.82333,0.99722,0.4552,0.000975553,0.000975553,0.000975553
22,217.53,0.49711,0.81667,0.99833,0.49414,0.00097307,0.00097307,0.00097307
23,227.514,0.50357,0.82389,0.99944,0.44867,0.00097047,0.00097047,0.00097047
24,237.529,0.5008,0.84111,0.99833,0.41425,0.000967754,0.000967754,0.000967754
25,247.189,0.48855,0.82944,0.99778,0.4353,0.000964923,0.000964923,0.000964923
26,257.189,0.47607,0.82333,0.99833,0.45734,0.000961978,0.000961978,0.000961978
27,266.954,0.47237,0.84611,0.99833,0.39868,0.000958918,0.000958918,0.000958918
28,276.732,0.46074,0.82056,0.99889,0.46149,0.000955746,0.000955746,0.000955746
29,286.594,0.46644,0.83167,0.99944,0.43341,0.000952461,0.000952461,0.000952461
30,296.386,0.4615,0.83556,0.99889,0.42761,0.000949065,0.000949065,0.000949065
31,306.256,0.45603,0.84333,1,0.42377,0.000945558,0.000945558,0.000945558
32,315.982,0.45268,0.81111,0.99889,0.48132,0.000941941,0.000941941,0.000941941
33,325.796,0.45142,0.83944,1,0.41302,0.000938215,0.000938215,0.000938215
34,335.403,0.43887,0.83333,0.99944,0.40918,0.000934381,0.000934381,0.000934381
35,345.383,0.4289,0.84722,0.99889,0.41394,0.000930441,0.000930441,0.000930441
36,354.987,0.42375,0.82889,1,0.44238,0.000926394,0.000926394,0.000926394
37,365.027,0.43199,0.85333,0.99889,0.36963,0.000922242,0.000922242,0.000922242
38,374.95,0.41658,0.86722,1,0.35126,0.000917986,0.000917986,0.000917986
39,384.816,0.41038,0.85167,1,0.36285,0.000913627,0.000913627,0.000913627
40,394.721,0.40074,0.86056,1,0.37665,0.000909166,0.000909166,0.000909166
41,404.593,0.40317,0.85833,1,0.35016,0.000904604,0.000904604,0.000904604
42,414.121,0.41337,0.85556,0.99944,0.38,0.000899942,0.000899942,0.000899942
43,424.24,0.39411,0.84167,1,0.40259,0.000895182,0.000895182,0.000895182
44,434.042,0.38801,0.85611,1,0.37128,0.000890325,0.000890325,0.000890325
45,444.069,0.38696,0.85722,0.99944,0.36133,0.000885371,0.000885371,0.000885371
46,453.74,0.39253,0.86167,0.99944,0.34955,0.000880323,0.000880323,0.000880323
47,463.844,0.39319,0.855,0.99889,0.34564,0.00087518,0.00087518,0.00087518
48,473.439,0.37754,0.86444,0.99889,0.35571,0.000869946,0.000869946,0.000869946
49,483.262,0.3685,0.87,1,0.32446,0.00086462,0.00086462,0.00086462
50,493.016,0.36496,0.86444,0.99944,0.33856,0.000859204,0.000859204,0.000859204
51,502.887,0.36683,0.84889,0.99944,0.40741,0.0008537,0.0008537,0.0008537
52,512.768,0.36283,0.86611,1,0.34583,0.000848108,0.000848108,0.000848108
53,522.764,0.36091,0.87444,1,0.32471,0.000842431,0.000842431,0.000842431
54,532.583,0.34722,0.87167,1,0.34155,0.00083667,0.00083667,0.00083667
55,542.375,0.35827,0.87444,1,0.33289,0.000830825,0.000830825,0.000830825
56,551.994,0.35606,0.86611,1,0.34991,0.000824899,0.000824899,0.000824899
57,561.887,0.35066,0.86556,0.99944,0.34711,0.000818893,0.000818893,0.000818893
58,571.642,0.35075,0.88222,1,0.32645,0.000812809,0.000812809,0.000812809
59,581.444,0.35025,0.86778,0.99944,0.34161,0.000806647,0.000806647,0.000806647
60,590.948,0.34363,0.86389,1,0.33386,0.00080041,0.00080041,0.00080041
61,600.922,0.34272,0.86944,0.99944,0.33246,0.000794099,0.000794099,0.000794099
62,610.694,0.33293,0.88444,1,0.33319,0.000787715,0.000787715,0.000787715
63,620.272,0.32941,0.85333,1,0.34656,0.000781261,0.000781261,0.000781261
64,630.19,0.32963,0.88389,1,0.30719,0.000774737,0.000774737,0.000774737
65,639.89,0.32951,0.87389,1,0.32629,0.000768145,0.000768145,0.000768145
66,649.905,0.32801,0.87944,1,0.31104,0.000761488,0.000761488,0.000761488
67,659.632,0.32132,0.88444,1,0.31555,0.000754766,0.000754766,0.000754766
68,669.418,0.32566,0.88556,1,0.30331,0.000747982,0.000747982,0.000747982
69,679.143,0.32491,0.87333,0.99944,0.31226,0.000741136,0.000741136,0.000741136
70,689.116,0.31318,0.88,0.99944,0.30811,0.000734231,0.000734231,0.000734231
71,698.785,0.31279,0.87667,1,0.32062,0.000727268,0.000727268,0.000727268
72,708.9,0.31801,0.88833,1,0.30841,0.00072025,0.00072025,0.00072025
73,718.304,0.3109,0.88611,0.99944,0.31427,0.000713177,0.000713177,0.000713177
74,728.513,0.31256,0.88222,1,0.30774,0.000706051,0.000706051,0.000706051
75,738.202,0.30303,0.88278,0.99944,0.29706,0.000698875,0.000698875,0.000698875
76,748.162,0.29837,0.88278,1,0.31616,0.00069165,0.00069165,0.00069165
77,757.959,0.30548,0.88889,0.99944,0.30231,0.000684378,0.000684378,0.000684378
78,767.85,0.29847,0.88333,1,0.30603,0.000677061,0.000677061,0.000677061
79,777.536,0.29027,0.88389,1,0.31439,0.0006697,0.0006697,0.0006697
80,787.21,0.28947,0.885,0.99889,0.32391,0.000662297,0.000662297,0.000662297
81,797.098,0.29566,0.88167,0.99944,0.31549,0.000654854,0.000654854,0.000654854
82,807.064,0.29416,0.89,1,0.29449,0.000647373,0.000647373,0.000647373
83,817.195,0.28544,0.88722,1,0.32117,0.000639856,0.000639856,0.000639856
84,826.728,0.28085,0.89111,0.99944,0.30945,0.000632305,0.000632305,0.000632305
85,836.399,0.27762,0.88944,0.99944,0.30316,0.000624721,0.000624721,0.000624721
86,846.202,0.26708,0.885,0.99944,0.30713,0.000617106,0.000617106,0.000617106
87,856.077,0.27819,0.88444,0.99889,0.30493,0.000609463,0.000609463,0.000609463
88,865.947,0.28041,0.87167,0.99889,0.33206,0.000601792,0.000601792,0.000601792
89,875.95,0.27811,0.87833,0.99944,0.33875,0.000594097,0.000594097,0.000594097
90,885.586,0.27261,0.88833,0.99944,0.31546,0.000586379,0.000586379,0.000586379
91,895.678,0.26845,0.89167,0.99889,0.31525,0.000578639,0.000578639,0.000578639
92,905.363,0.26328,0.88889,0.99944,0.3118,0.00057088,0.00057088,0.00057088
93,915.101,0.25996,0.88889,1,0.31158,0.000563104,0.000563104,0.000563104
94,924.724,0.26656,0.88389,1,0.3186,0.000555312,0.000555312,0.000555312
95,934.781,0.2581,0.88,1,0.31238,0.000547507,0.000547507,0.000547507
96,944.286,0.26715,0.88444,1,0.31244,0.00053969,0.00053969,0.00053969
97,954.069,0.25679,0.89333,1,0.31055,0.000531864,0.000531864,0.000531864
98,963.899,0.25498,0.88833,1,0.31116,0.00052403,0.00052403,0.00052403
99,973.723,0.25348,0.88556,1,0.32666,0.00051619,0.00051619,0.00051619
100,983.367,0.25732,0.88889,1,0.31494,0.000508346,0.000508346,0.000508346
101,993.74,0.25185,0.88722,1,0.31659,0.0005005,0.0005005,0.0005005
102,1003.33,0.2405,0.885,1,0.33191,0.000492654,0.000492654,0.000492654
103,1013.15,0.23998,0.885,1,0.31683,0.00048481,0.00048481,0.00048481
104,1023.36,0.24232,0.88611,1,0.3056,0.00047697,0.00047697,0.00047697
105,1033.25,0.24489,0.88556,1,0.32159,0.000469136,0.000469136,0.000469136
106,1042.99,0.22633,0.88778,0.99944,0.32288,0.00046131,0.00046131,0.00046131
107,1053.05,0.23704,0.88944,1,0.32465,0.000453493,0.000453493,0.000453493
108,1062.59,0.23841,0.89389,1,0.31665,0.000445688,0.000445688,0.000445688
109,1072.49,0.23595,0.89,1,0.32996,0.000437896,0.000437896,0.000437896
110,1082.65,0.22282,0.89056,1,0.31152,0.00043012,0.00043012,0.00043012
111,1092.64,0.22967,0.89722,1,0.30493,0.000422361,0.000422361,0.000422361
112,1102.21,0.21745,0.89278,1,0.31854,0.000414621,0.000414621,0.000414621
113,1112.25,0.21794,0.89389,1,0.32489,0.000406903,0.000406903,0.000406903
114,1122.38,0.22108,0.88944,0.99944,0.31287,0.000399208,0.000399208,0.000399208
115,1132.32,0.20959,0.88722,1,0.31604,0.000391537,0.000391537,0.000391537
116,1141.75,0.22019,0.89056,0.99944,0.32629,0.000383894,0.000383894,0.000383894
117,1151.85,0.21761,0.89167,1,0.32782,0.000376279,0.000376279,0.000376279
118,1161.43,0.21773,0.88722,1,0.33215,0.000368695,0.000368695,0.000368695
119,1171.33,0.20186,0.88389,1,0.3465,0.000361144,0.000361144,0.000361144
120,1181.05,0.20643,0.88944,0.99944,0.33362,0.000353627,0.000353627,0.000353627
121,1190.94,0.20528,0.88667,0.99944,0.34412,0.000346146,0.000346146,0.000346146
122,1200.63,0.20299,0.89,0.99944,0.3631,0.000338703,0.000338703,0.000338703
123,1210.7,0.19841,0.88333,0.99944,0.34784,0.0003313,0.0003313,0.0003313
124,1220.22,0.19909,0.88944,1,0.34686,0.000323939,0.000323939,0.000323939
125,1229.95,0.20105,0.88778,1,0.3681,0.000316622,0.000316622,0.000316622
126,1240.12,0.19613,0.885,1,0.3334,0.00030935,0.00030935,0.00030935
127,1249.66,0.19715,0.885,0.99889,0.36115,0.000302125,0.000302125,0.000302125
128,1259.47,0.19711,0.89056,0.99889,0.34595,0.000294949,0.000294949,0.000294949
129,1269.43,0.19204,0.88889,0.99889,0.37622,0.000287823,0.000287823,0.000287823
130,1278.87,0.18312,0.88833,0.99944,0.37378,0.00028075,0.00028075,0.00028075
131,1288.75,0.18396,0.88833,0.99889,0.34665,0.000273732,0.000273732,0.000273732
