epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.1554,1.50824,0.22424,0.99172,1.8434,0.0803833,0.000198148,0.000198148
2,60.2323,1.38042,0.41549,0.99273,1.93178,0.0605833,0.000398124,0.000398124
3,86.2019,1.12609,0.5473,0.9875,1.23249,0.0407832,0.000598001,0.000598001
4,112.205,0.97062,0.67737,0.99651,0.8705,0.0209829,0.000797706,0.000797706
5,137.113,0.89598,0.72039,0.99709,0.75966,0.00118235,0.000997164,0.000997164
6,163.155,0.84561,0.7169,0.9984,0.76444,0.00099846,0.00099846,0.00099846
7,189.234,0.80057,0.7137,0.99564,0.78666,0.000997783,0.000997783,0.000997783
8,214.824,0.76365,0.71705,0.99564,0.76719,0.000996983,0.000996983,0.000996983
9,240.625,0.74023,0.76588,0.99826,0.63208,0.000996061,0.000996061,0.000996061
10,266.616,0.70631,0.73376,0.99855,0.74257,0.000995017,0.000995017,0.000995017
11,292.117,0.69535,0.72853,0.99622,0.7418,0.00099385,0.00099385,0.00099385
12,318.093,0.66578,0.78099,0.9984,0.59703,0.000992562,0.000992562,0.000992562
13,344.088,0.66058,0.7762,0.99884,0.59473,0.000991152,0.000991152,0.000991152
14,368.736,0.64703,0.77096,0.99738,0.63424,0.000989622,0.000989622,0.000989622
15,394.991,0.63113,0.78986,0.99869,0.56302,0.00098797,0.00098797,0.00098797
16,420.935,0.62503,0.78375,0.99811,0.58657,0.000986199,0.000986199,0.000986199
17,446.66,0.61492,0.76922,0.99797,0.63623,0.000984307,0.000984307,0.000984307
18,471.613,0.60134,0.80017,0.99855,0.53943,0.000982296,0.000982296,0.000982296
19,497.514,0.59042,0.81006,0.99913,0.51102,0.000980167,0.000980167,0.000980167
20,523.476,0.58908,0.8073,0.99942,0.5208,0.000977919,0.000977919,0.000977919
21,547.997,0.57721,0.79422,0.99898,0.54574,0.000975553,0.000975553,0.000975553
22,573.98,0.57239,0.80047,0.99913,0.51913,0.00097307,0.00097307,0.00097307
23,599.959,0.57311,0.78869,0.99797,0.58388,0.00097047,0.00097047,0.00097047
24,624.672,0.55771,0.80831,0.99869,0.52572,0.000967754,0.000967754,0.000967754
25,650.654,0.54843,0.80715,0.99855,0.52277,0.000964923,0.000964923,0.000964923
26,676.617,0.54603,0.815,0.9984,0.50708,0.000961978,0.000961978,0.000961978
27,701.365,0.54013,0.81166,0.99942,0.50085,0.000958918,0.000958918,0.000958918
28,729.352,0.5369,0.81645,0.99913,0.49412,0.000955746,0.000955746,0.000955746
29,755.784,0.5322,0.81979,0.99927,0.48188,0.000952461,0.000952461,0.000952461
30,781.183,0.52617,0.82037,0.99855,0.47853,0.000949065,0.000949065,0.000949065
31,806.723,0.51437,0.82183,0.99913,0.47754,0.000945558,0.000945558,0.000945558
32,832.618,0.51519,0.82633,0.99913,0.46971,0.000941941,0.000941941,0.000941941
33,858.557,0.51933,0.82473,0.99869,0.47095,0.000938215,0.000938215,0.000938215
34,882.121,0.50489,0.82517,0.99869,0.48003,0.000934381,0.000934381,0.000934381
35,908.051,0.50456,0.83389,0.99913,0.45897,0.000930441,0.000930441,0.000930441
36,934.082,0.49563,0.80017,0.99884,0.56464,0.000926394,0.000926394,0.000926394
37,959.508,0.49985,0.82706,0.99898,0.46723,0.000922242,0.000922242,0.000922242
38,985.445,0.49137,0.82212,0.99913,0.45232,0.000917986,0.000917986,0.000917986
39,1011.4,0.48767,0.82939,0.99898,0.45311,0.000913627,0.000913627,0.000913627
40,1036.61,0.4784,0.83069,0.99884,0.45046,0.000909166,0.000909166,0.000909166
41,1062.06,0.4842,0.83113,0.99927,0.45143,0.000904604,0.000904604,0.000904604
42,1088.01,0.47281,0.82968,0.99971,0.45238,0.000899942,0.000899942,0.000899942
43,1113.88,0.46845,0.832,0.99913,0.45925,0.000895182,0.000895182,0.000895182
44,1139.15,0.47367,0.83665,0.99942,0.4408,0.000890325,0.000890325,0.000890325
45,1165.08,0.46269,0.83389,0.99927,0.44428,0.000885371,0.000885371,0.000885371
46,1191.03,0.46286,0.8368,0.99913,0.43637,0.000880323,0.000880323,0.000880323
47,1216.28,0.45963,0.82357,0.99913,0.48624,0.00087518,0.00087518,0.00087518
48,1242.15,0.45902,0.83505,0.99898,0.4511,0.000869946,0.000869946,0.000869946
49,1268,0.45564,0.83883,0.99927,0.44141,0.00086462,0.00086462,0.00086462
